"1","Andorra la Vella","488","6","2022-12-30 06:46:10","2022-12-30 06:46:10"
"2","Arinsal","493","6","2022-12-30 06:46:10","2022-12-30 06:46:10"
"3","Canillo","489","6","2022-12-30 06:46:10","2022-12-30 06:46:10"
"4","El Tarter","489","6","2022-12-30 06:46:10","2022-12-30 06:46:10"
"5","Encamp","487","6","2022-12-30 06:46:10","2022-12-30 06:46:10"
"6","Ordino","491","6","2022-12-30 06:46:10","2022-12-30 06:46:10"
"7","Pas de la Casa","487","6","2022-12-30 06:46:10","2022-12-30 06:46:10"
"8","Sant Julià de Lòria","490","6","2022-12-30 06:46:10","2022-12-30 06:46:10"
"9","la Massana","493","6","2022-12-30 06:46:10","2022-12-30 06:46:10"
"10","les Escaldes","492","6","2022-12-30 06:46:10","2022-12-30 06:46:10"
"11","Abu Dhabi Island and Internal Islands City","3396","231","2022-12-30 06:46:10","2022-12-30 06:46:10"
"12","Abu Dhabi Municipality","3396","231","2022-12-30 06:46:10","2022-12-30 06:46:10"
"13","Adh Dhayd","3390","231","2022-12-30 06:46:10","2022-12-30 06:46:10"
"14","Ajman","3395","231","2022-12-30 06:46:10","2022-12-30 06:46:10"
"15","Ajman City","3395","231","2022-12-30 06:46:10","2022-12-30 06:46:10"
"16","Al Ain City","3396","231","2022-12-30 06:46:10","2022-12-30 06:46:10"
"17","Al Batayih","3390","231","2022-12-30 06:46:10","2022-12-30 06:46:10"
"18","Al Fujairah City","3393","231","2022-12-30 06:46:10","2022-12-30 06:46:10"
"19","Al Fujairah Municipality","3393","231","2022-12-30 06:46:10","2022-12-30 06:46:10"
"20","Al Hamriyah","3390","231","2022-12-30 06:46:10","2022-12-30 06:46:10"
"21","Dibba Al Fujairah Municipality","3393","231","2022-12-30 06:46:10","2022-12-30 06:46:10"
"22","Dubai","3391","231","2022-12-30 06:46:10","2022-12-30 06:46:10"
"23","Manama","3395","231","2022-12-30 06:46:10","2022-12-30 06:46:10"
"24","Ras Al Khaimah","3394","231","2022-12-30 06:46:10","2022-12-30 06:46:10"
"25","Ras Al Khaimah City","3394","231","2022-12-30 06:46:10","2022-12-30 06:46:10"
"26","Umm AL Quwain","3392","231","2022-12-30 06:46:10","2022-12-30 06:46:10"
"27","Umm Al Quwain City","3392","231","2022-12-30 06:46:10","2022-12-30 06:46:10"
"28","Andkhoy","3889","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"29","Asadabad","3876","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"30","Ashkāsham","3901","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"31","Aībak","3883","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"32","Baghlān","3875","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"33","Balkh","3884","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"34","Baraki Barak","3897","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"35","Bāmyān","3872","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"36","Bāsawul","3882","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"37","Bāzārak","3881","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"38","Chahār Burj","3887","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"39","Charikar","3895","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"40","Chīras","3885","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"41","Darzāb","3886","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"42","Dasht-e Archī","3900","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"43","Dowlatābād","3884","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"44","Farah","3899","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"45","Fayrōz Kōh","3888","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"46","Fayzabad","3901","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"47","Gardez","3894","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"48","Gereshk","3873","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"49","Ghazni","3870","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"50","Ghormach","3871","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"51","Ghōriyān","3887","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"52","Herāt","3887","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"53","Imām Şāḩib","3900","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"54","Jabal os Saraj","3895","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"55","Jalālābād","3882","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"56","Jurm","3901","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"57","Kabul","3902","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"58","Kandahār","3890","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"59","Khanabad","3900","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"60","Khulm","3884","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"61","Khāsh","3896","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"62","Khōst","3878","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"63","Larkird","3885","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"64","Lashkar Gāh","3873","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"65","Markaz-e Woluswalī-ye Āchīn","3882","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"66","Markaz-e Ḩukūmat-e Darwēshān","3873","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"67","Maymana","3889","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"68","Mehtar Lām","3891","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"69","Mīr Bachah Kōṯ","3902","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"70","Mīrābād","3896","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"71","Nahrīn","3875","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"72","Nīlī","3892","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"73","Paghmān","3902","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
"74","Panjāb","3872","1","2022-12-30 06:46:10","2022-12-30 06:46:10"
