"1","Afghanistan","2018-07-21 12:41:03"
"2","Aland Islands","2018-07-21 12:41:03"
"3","Albania","2018-07-21 12:41:03"
"4","Algeria","2018-07-21 12:41:03"
"5","American Samoa","2018-07-21 12:41:03"
"6","Andorra","2018-07-21 12:41:03"
"7","Angola","2018-07-21 12:41:03"
"8","Anguilla","2018-07-21 12:41:03"
"9","Antarctica","2018-07-21 12:41:03"
"10","Antigua And Barbuda","2018-07-21 12:41:03"
"11","Argentina","2018-07-21 12:41:03"
"12","Armenia","2018-07-21 12:41:03"
"13","Aruba","2018-07-21 12:41:03"
"14","Australia","2018-07-21 12:41:03"
"15","Austria","2018-07-21 12:41:03"
"16","Azerbaijan","2018-07-21 12:41:03"
"17","The Bahamas","2018-07-21 12:41:03"
"18","Bahrain","2018-07-21 12:41:03"
"19","Bangladesh","2018-07-21 12:41:03"
"20","Barbados","2018-07-21 12:41:03"
"21","Belarus","2018-07-21 12:41:03"
"22","Belgium","2018-07-21 12:41:03"
"23","Belize","2018-07-21 12:41:03"
"24","Benin","2018-07-21 12:41:03"
"25","Bermuda","2018-07-21 12:41:03"
"26","Bhutan","2018-07-21 12:41:03"
"27","Bolivia","2018-07-21 12:41:03"
"28","Bosnia and Herzegovina","2018-07-21 12:41:03"
"29","Botswana","2018-07-21 12:41:03"
"30","Bouvet Island","2018-07-21 12:41:03"
"31","Brazil","2018-07-21 12:41:03"
"32","British Indian Ocean Territory","2018-07-21 12:41:03"
"33","Brunei","2018-07-21 12:41:03"
"34","Bulgaria","2018-07-21 12:41:03"
"35","Burkina Faso","2018-07-21 12:41:03"
"36","Burundi","2018-07-21 12:41:03"
"37","Cambodia","2018-07-21 12:41:03"
"38","Cameroon","2018-07-21 12:41:03"
"39","Canada","2018-07-21 12:41:03"
"40","Cape Verde","2018-07-21 12:41:03"
"41","Cayman Islands","2018-07-21 12:41:03"
"42","Central African Republic","2018-07-21 12:41:03"
"43","Chad","2018-07-21 12:41:03"
"44","Chile","2018-07-21 12:41:03"
"45","China","2018-07-21 12:41:03"
"46","Christmas Island","2018-07-21 12:41:03"
"47","Cocos (Keeling) Islands","2018-07-21 12:41:03"
"48","Colombia","2018-07-21 12:41:03"
"49","Comoros","2018-07-21 12:41:03"
"50","Congo","2018-07-21 12:41:03"
"51","Democratic Republic of the Congo","2018-07-21 12:41:03"
"52","Cook Islands","2018-07-21 12:41:03"
"53","Costa Rica","2018-07-21 12:41:03"
"54","Cote D'Ivoire (Ivory Coast)","2018-07-21 12:41:03"
"55","Croatia","2018-07-21 12:41:03"
"56","Cuba","2018-07-21 12:41:03"
"57","Cyprus","2018-07-21 12:41:03"
"58","Czech Republic","2018-07-21 12:41:03"
"59","Denmark","2018-07-21 12:41:03"
"60","Djibouti","2018-07-21 12:41:03"
"61","Dominica","2018-07-21 12:41:03"
"62","Dominican Republic","2018-07-21 12:41:03"
"63","East Timor","2018-07-21 12:41:03"
"64","Ecuador","2018-07-21 12:41:03"
"65","Egypt","2018-07-21 12:41:03"
"66","El Salvador","2018-07-21 12:41:03"
"67","Equatorial Guinea","2018-07-21 12:41:03"
"68","Eritrea","2018-07-21 12:41:03"
"69","Estonia","2018-07-21 12:41:03"
"70","Ethiopia","2018-07-21 12:41:03"
"71","Falkland Islands","2018-07-21 12:41:03"
"72","Faroe Islands","2018-07-21 12:41:03"
"73","Fiji Islands","2018-07-21 12:41:03"
"74","Finland","2018-07-21 12:41:03"
"75","France","2018-07-21 12:41:03"
"76","French Guiana","2018-07-21 12:41:03"
"77","French Polynesia","2018-07-21 12:41:03"
"78","French Southern Territories","2018-07-21 12:41:03"
"79","Gabon","2018-07-21 12:41:03"
"80","Gambia The","2018-07-21 12:41:03"
"81","Georgia","2018-07-21 12:41:03"
"82","Germany","2018-07-21 12:41:03"
"83","Ghana","2018-07-21 12:41:03"
"84","Gibraltar","2018-07-21 12:41:03"
"85","Greece","2018-07-21 12:41:03"
"86","Greenland","2018-07-21 12:41:03"
"87","Grenada","2018-07-21 12:41:03"
"88","Guadeloupe","2018-07-21 12:41:03"
"89","Guam","2018-07-21 12:41:03"
"90","Guatemala","2018-07-21 12:41:03"
"91","Guernsey and Alderney","2018-07-21 12:41:03"
"92","Guinea","2018-07-21 12:41:03"
"93","Guinea-Bissau","2018-07-21 12:41:03"
"94","Guyana","2018-07-21 12:41:03"
"95","Haiti","2018-07-21 12:41:03"
